Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,594918104,MSFT ,"53,336,237","20,772,864,224.39",8.961,Microsoft Corp,Common Stock,Information Technology,01/17/2024
QQQ,037833100,AAPL ,"111,611,331","20,389,157,947.08",8.796,Apple Inc,Common Stock,Information Technology,01/17/2024
QQQ,023135106,AMZN ,"74,160,162","11,250,838,177.02",4.853,Amazon.com Inc,Common Stock,Consumer Discretionary,01/17/2024
QQQ,67066G104,NVDA ,"17,725,485","9,935,666,107.05",4.286,NVIDIA Corp,Common Stock,Information Technology,01/17/2024
QQQ,11135F101,AVGO ,"8,657,953","9,555,522,987.51",4.122,Broadcom Inc,Common Stock,Information Technology,01/17/2024
QQQ,30303M102,META ,"25,340,580","9,334,709,454.60",4.027,Meta Platforms Inc,Common Stock,Communication Services,01/17/2024
QQQ,88160R101,TSLA ,"34,530,994","7,443,155,756.70",3.211,Tesla Inc,Common Stock,Consumer Discretionary,01/17/2024
QQQ,02079K305,GOOGL ,"42,469,421","6,008,148,988.87",2.592,Alphabet Inc,Common Stock,Communication Services,01/17/2024
QQQ,02079K107,GOOG ,"41,084,425","5,870,553,488.25",2.532,Alphabet Inc,Common Stock,Communication Services,01/17/2024
QQQ,22160K105,COST ,"8,206,482","5,614,792,919.58",2.422,Costco Wholesale Corp,Common Stock,Consumer Staples,01/17/2024
QQQ,00724F101,ADBE ,"8,439,078","5,030,534,395.80",2.170,Adobe Inc,Common Stock,Information Technology,01/17/2024
QQQ,007903107,AMD ,"29,943,992","4,796,129,198.64",2.069,Advanced Micro Devices Inc,Common Stock,Information Technology,01/17/2024
QQQ,713448108,PEP ,"25,483,753","4,241,515,849.32",1.830,PepsiCo Inc,Common Stock,Consumer Staples,01/17/2024
QQQ,64110L106,NFLX ,"8,112,456","3,896,655,990.48",1.681,Netflix Inc,Common Stock,Communication Services,01/17/2024
QQQ,17275R102,CSCO ,"75,318,243","3,788,507,622.90",1.634,Cisco Systems Inc,Common Stock,Information Technology,01/17/2024
QQQ,458140100,INTC ,"78,145,538","3,599,383,480.28",1.553,Intel Corp,Common Stock,Information Technology,01/17/2024
QQQ,872590104,TMUS ,"21,435,802","3,521,259,194.54",1.519,T-Mobile US Inc,Common Stock,Communication Services,01/17/2024
QQQ,20030N101,CMCSA ,"74,431,693","3,152,182,198.55",1.360,Comcast Corp,Common Stock,Communication Services,01/17/2024
QQQ,461202103,INTU ,"5,188,761","3,112,426,398.24",1.343,Intuit Inc,Common Stock,Information Technology,01/17/2024
QQQ,031162100,AMGN ,"9,919,707","3,016,384,504.56",1.301,Amgen Inc,Common Stock,Health Care,01/17/2024
QQQ,747525103,QCOM ,"20,630,056","2,874,179,401.92",1.240,QUALCOMM Inc,Common Stock,Information Technology,01/17/2024
QQQ,882508104,TXN ,"16,833,933","2,734,083,228.20",1.179,Texas Instruments Inc,Common Stock,Information Technology,01/17/2024
QQQ,438516106,HON ,"12,219,505","2,418,851,014.75",1.043,Honeywell International Inc,Common Stock,Industrials,01/17/2024
QQQ,038222105,AMAT ,"15,505,638","2,378,099,700.06",1.026,Applied Materials Inc,Common Stock,Information Technology,01/17/2024
QQQ,46120E602,ISRG ,"6,525,796","2,341,977,668.48",1.010,Intuitive Surgical Inc,Common Stock,Health Care,01/17/2024
QQQ,09857L108,BKNG ,"646,743","2,257,068,395.70",0.974,Booking Holdings Inc,Common Stock,Consumer Discretionary,01/17/2024
QQQ,92532F100,VRTX ,"4,776,234","2,071,739,259.84",0.894,Vertex Pharmaceuticals Inc,Common Stock,Health Care,01/17/2024
QQQ,375558103,GILD ,"23,095,918","1,997,334,988.64",0.862,Gilead Sciences Inc,Common Stock,Health Care,01/17/2024
QQQ,855244109,SBUX ,"21,069,170","1,933,517,730.90",0.834,Starbucks Corp,Common Stock,Consumer Discretionary,01/17/2024
QQQ,697435105,PANW ,"5,844,181","1,928,930,380.86",0.832,Palo Alto Networks Inc,Common Stock,Information Technology,01/17/2024
QQQ,609207105,MDLZ ,"25,224,697","1,848,970,290.10",0.798,Mondelez International Inc,Common Stock,Consumer Staples,01/17/2024
QQQ,75886F107,REGN ,"1,985,531","1,844,816,418.03",0.796,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,01/17/2024
QQQ,512807108,LRCX ,"2,442,945","1,839,293,290.50",0.793,Lam Research Corp,Common Stock,Information Technology,01/17/2024
QQQ,053015103,ADP ,"7,623,681","1,794,538,270.59",0.774,Automatic Data Processing Inc,Common Stock,Industrials,01/17/2024
QQQ,722304102,PDD ,"12,380,318","1,759,862,203.70",0.759,PDD Holdings Inc ADR,American Depository Receipt,Consumer Discretionary,01/17/2024
QQQ,032654105,ADI ,"9,198,525","1,705,682,490.75",0.736,Analog Devices Inc,Common Stock,Information Technology,01/17/2024
QQQ,595112103,MU ,"20,458,270","1,703,764,725.60",0.735,Micron Technology Inc,Common Stock,Information Technology,01/17/2024
QQQ,58733R102,MELI ,"937,122","1,532,456,864.16",0.661,MercadoLibre Inc,Common Stock,Consumer Discretionary,01/17/2024
QQQ,871607107,SNPS ,"2,819,067","1,431,719,557.29",0.618,Synopsys Inc,Common Stock,Information Technology,01/17/2024
QQQ,482480100,KLAC ,"2,519,445","1,417,187,812.50",0.611,KLA Corp,Common Stock,Information Technology,01/17/2024
QQQ,127387108,CDNS ,"5,042,784","1,388,732,285.76",0.599,Cadence Design Systems Inc,Common Stock,Information Technology,01/17/2024
QQQ,126408103,CSX ,"36,628,475","1,259,653,255.25",0.543,CSX Corp,Common Stock,Industrials,01/17/2024
QQQ,571903202,MAR ,"5,443,673","1,239,524,342.10",0.535,Marriott International Inc/MD,Common Stock,Consumer Discretionary,01/17/2024
QQQ,70450Y103,PYPL ,"19,983,863","1,196,833,555.07",0.516,PayPal Holdings Inc,Common Stock,Financials,01/17/2024
QQQ,22788C105,CRWD ,"4,219,330","1,165,674,299.10",0.503,Crowdstrike Holdings Inc,Common Stock,Information Technology,01/17/2024
QQQ,N07059210,ASML ,"1,627,155","1,158,973,691.85",0.500,ASML Holding NV,American Depository Receipt - NY,Information Technology,01/17/2024
QQQ,172908105,CTAS ,"1,887,983","1,111,814,308.87",0.480,Cintas Corp,Common Stock,Industrials,01/17/2024
QQQ,61174X109,MNST ,"19,285,070","1,101,370,347.70",0.475,Monster Beverage Corp,Common Stock,Consumer Staples,01/17/2024
QQQ,98138H101,WDAY ,"3,873,826","1,089,784,730.32",0.470,Workday Inc,Common Stock,Information Technology,01/17/2024
QQQ,67103H107,ORLY ,"1,096,578","1,087,980,828.48",0.469,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,01/17/2024
QQQ,009066101,ABNB ,"8,058,279","1,087,706,499.42",0.469,Airbnb Inc,Common Stock,Consumer Discretionary,01/17/2024
QQQ,776696106,ROP ,"1,980,056","1,063,666,282.64",0.459,Roper Technologies Inc,Common Stock,Information Technology,01/17/2024
QQQ,550021109,LULU ,"2,250,771","1,054,261,136.40",0.455,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,01/17/2024
QQQ,573874104,MRVL ,"15,992,287","1,045,255,878.32",0.451,Marvell Technology Inc,Common Stock,Information Technology,01/17/2024
QQQ,16119P108,CHTR ,"2,741,861","984,986,145.64",0.425,Charter Communications Inc,Common Stock,Communication Services,01/17/2024
QQQ,N6596X109,NXPI ,"4,777,924","981,767,823.52",0.424,NXP Semiconductors NV,Common Stock,Information Technology,01/17/2024
QQQ,052769106,ADSK ,"3,962,159","944,856,056.73",0.408,Autodesk Inc,Common Stock,Information Technology,01/17/2024
QQQ,693718108,PCAR ,"9,695,347","912,138,245.76",0.393,PACCAR Inc,Common Stock,Industrials,01/17/2024
QQQ,252131107,DXCM ,"7,161,643","898,428,114.35",0.388,Dexcom Inc,Common Stock,Health Care,01/17/2024
QQQ,34959E109,FTNT ,"14,233,610","862,841,438.20",0.372,Fortinet Inc,Common Stock,Information Technology,01/17/2024
