Date,/ES,AAPL Last,AAPL Bid,AAPL BS,AAPL Ask,AAPL AS,AAPL Volume,AAPL Open,AAPL High,AAPL Low,QQQ last,QQQ Bid,QQQ BS,QQQ Ask,QQQ AS,QQQ Volume,SPY Last,SPY Bid,SPY BS,SPY Ask,SPY AS,SPY Volume
2024-01-16 03:59:59,4792.25,185.92,183.62,1.0,183.77,8.0,2818.0,0.0,0.0,0.0,409.56,406.57,10,406.62,8,927.0,476.68,474.22,25,474.37,6,453.0
2024-01-16 04:00:02,4792.0,185.92,183.62,1.0,183.77,9.0,2960.0,0.0,0.0,0.0,409.56,406.58,10,406.63,8,1461.0,476.68,474.23,25,474.35,1,466.0
2024-01-16 04:00:05,4792.25,185.92,183.62,1.0,183.77,9.0,3023.0,0.0,0.0,0.0,409.56,406.59,10,406.65,8,1489.0,476.68,474.23,25,474.36,14,492.0
2024-01-16 04:00:08,4792.25,185.92,183.62,1.0,183.77,8.0,3075.0,0.0,0.0,0.0,409.56,406.6,9,406.65,8,1557.0,476.68,474.23,25,474.36,5,503.0
2024-01-16 04:00:11,4792.5,185.92,183.62,1.0,183.76,1.0,3109.0,0.0,0.0,0.0,409.56,406.64,9,406.69,8,1611.0,476.68,474.27,25,474.39,5,523.0
2024-01-16 04:00:14,4792.25,185.92,183.62,1.0,183.76,1.0,3114.0,0.0,0.0,0.0,409.56,406.62,10,406.67,8,1611.0,476.68,474.28,5,474.37,18,524.0
2024-01-16 04:00:17,4791.75,185.92,183.62,1.0,183.76,1.0,3120.0,0.0,0.0,0.0,409.56,406.57,10,406.62,8,1649.0,476.68,474.24,5,474.33,13,525.0
2024-01-16 04:00:20,4792.25,185.92,183.62,1.0,183.77,7.0,3122.0,0.0,0.0,0.0,409.56,406.62,10,406.68,8,1649.0,476.68,474.26,25,474.38,14,525.0
2024-01-16 04:00:23,4792.0,185.92,183.62,1.0,183.76,1.0,3213.0,0.0,0.0,0.0,409.56,406.62,10,406.67,8,1750.0,476.68,474.26,5,474.36,14,534.0
2024-01-16 04:00:26,4792.0,185.92,183.62,1.0,183.76,1.0,3213.0,0.0,0.0,0.0,409.56,406.62,10,406.67,8,1750.0,476.68,474.25,20,474.36,14,534.0
2024-01-16 04:00:29,4792.25,185.92,183.62,1.0,183.77,7.0,3301.0,0.0,0.0,0.0,409.56,406.65,9,406.69,8,1753.0,476.68,474.32,9,474.36,4,534.0
2024-01-16 04:00:32,4792.75,185.92,183.62,1.0,183.77,7.0,3430.0,0.0,0.0,0.0,409.56,406.71,19,406.76,8,1784.0,476.68,474.36,4,474.4,4,536.0
2024-01-16 04:00:35,4793.0,185.92,183.62,1.0,183.77,6.0,3447.0,0.0,0.0,0.0,409.56,406.76,9,406.79,8,1824.0,476.68,474.4,5,474.42,4,946.0
2024-01-16 04:00:38,4793.25,185.92,183.62,1.0,183.77,6.0,3453.0,0.0,0.0,0.0,409.56,406.76,1,406.79,8,1824.0,476.68,474.4,10,474.43,4,1046.0
2024-01-16 04:00:41,4793.25,185.92,183.62,1.0,183.77,6.0,3511.0,0.0,0.0,0.0,409.56,406.8,9,406.83,8,2855.0,476.68,474.42,5,474.45,4,1256.0
2024-01-16 04:00:44,4793.25,185.92,183.62,1.0,183.77,6.0,3511.0,0.0,0.0,0.0,409.56,406.8,9,406.83,8,2855.0,476.68,474.42,5,474.45,4,1256.0
2024-01-16 04:00:47,4793.0,185.92,183.62,1.0,183.8,1.0,6004.0,0.0,0.0,0.0,409.56,406.77,9,406.8,8,3102.0,476.68,474.4,9,474.43,4,1466.0
2024-01-16 04:00:50,4793.25,185.92,183.62,1.0,183.8,1.0,6004.0,0.0,0.0,0.0,409.56,406.79,16,406.83,8,3112.0,476.68,474.42,8,474.45,4,1466.0
2024-01-16 04:00:53,4793.25,185.92,183.62,1.0,183.8,1.0,6004.0,0.0,0.0,0.0,409.56,406.79,9,406.84,8,3112.0,476.68,474.42,8,474.45,4,1466.0
2024-01-16 04:00:56,4793.0,185.92,183.62,1.0,183.8,1.0,6004.0,0.0,0.0,0.0,409.56,406.76,18,406.81,9,3422.0,476.68,474.4,9,474.44,17,1538.0
2024-01-16 04:00:59,4793.25,185.92,183.62,1.0,183.8,1.0,6005.0,0.0,0.0,0.0,409.56,406.78,17,406.84,9,3422.0,476.68,474.43,4,474.45,4,1538.0
2024-01-16 04:01:02,4793.5,185.92,183.62,1.0,183.8,1.0,6058.0,0.0,0.0,0.0,409.56,406.78,10,406.81,1,3432.0,476.68,474.42,8,474.45,4,1563.0
2024-01-16 04:01:05,4793.5,185.92,183.62,1.0,183.8,1.0,6119.0,0.0,0.0,0.0,409.56,406.76,7,406.81,1,3432.0,476.68,474.42,5,474.45,4,1563.0
2024-01-16 04:01:08,4793.5,185.92,183.62,1.0,183.8,1.0,6178.0,0.0,0.0,0.0,409.56,406.8,1,406.83,8,3552.0,476.68,474.45,5,474.47,4,1563.0
2024-01-16 04:01:11,4793.5,185.92,183.67,1.0,183.8,1.0,6353.0,0.0,0.0,0.0,409.56,406.81,11,406.86,9,3553.0,476.68,474.45,8,474.5,4,2163.0
2024-01-16 04:01:14,4793.25,185.92,183.65,1.0,183.8,1.0,6524.0,0.0,0.0,0.0,409.56,406.77,1,406.8,7,3657.0,476.68,474.36,4,474.46,3,2865.0
2024-01-16 04:01:17,4793.25,185.92,183.62,1.0,183.8,1.0,6725.0,0.0,0.0,0.0,409.56,406.76,1,406.8,9,3659.0,476.68,474.36,4,474.45,4,2942.0
2024-01-16 04:01:20,4793.0,185.92,183.62,1.0,183.8,1.0,7269.0,0.0,0.0,0.0,409.56,406.76,1,406.8,17,3687.0,476.68,474.39,5,474.44,13,4808.0
2024-01-16 04:01:23,4793.25,185.92,183.62,1.0,183.8,1.0,7414.0,0.0,0.0,0.0,409.56,406.76,1,406.8,17,3688.0,476.68,474.39,8,474.43,3,4818.0
2024-01-16 04:01:26,4793.25,185.92,183.62,1.0,183.8,1.0,7566.0,0.0,0.0,0.0,409.56,406.76,10,406.8,8,3764.0,476.68,474.4,4,474.41,1,5628.0
2024-01-16 04:01:29,4793.0,185.92,183.62,1.0,183.8,1.0,7566.0,0.0,0.0,0.0,409.56,406.79,60,406.81,10,4789.0,476.68,474.4,4,474.43,4,5638.0
2024-01-16 04:01:32,4793.0,185.92,183.62,1.0,183.8,1.0,7703.0,0.0,0.0,0.0,409.56,406.79,23,406.82,1,8764.0,476.68,474.4,4,474.43,4,5738.0
2024-01-16 04:01:35,4793.5,185.92,183.62,1.0,183.8,1.0,7703.0,0.0,0.0,0.0,409.56,406.82,1,406.85,1,10085.0,476.68,474.43,4,474.48,15,5861.0
2024-01-16 04:01:38,4793.5,185.92,183.62,1.0,183.8,1.0,7715.0,0.0,0.0,0.0,409.56,406.83,1,406.86,1,10085.0,476.68,474.38,5,474.48,4,5861.0
