Date,/ES,AAPL Last,AAPL Bid,AAPL BS,AAPL Ask,AAPL AS,AAPL Volume,AAPL Open,AAPL High,AAPL Low,QQQ last,QQQ Bid,QQQ BS,QQQ Ask,QQQ AS,QQQ Volume,SPY Last,SPY Bid,SPY BS,SPY Ask,SPY AS,SPY Volume
1/16/2024 12:10:02 AM,4789,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.41,1660,N/A,476.68,473.93,5000,474.09,4000,N/A
1/16/2024 12:10:05 AM,4789,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.42,4151,N/A,476.68,473.93,5000,474.08,2500,N/A
1/16/2024 12:10:08 AM,4789,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.42,4400,N/A,476.68,473.94,3000,474.12,5600,N/A
1/16/2024 12:10:11 AM,4789,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,1182,406.42,4400,N/A,476.68,473.95,25,474.1,5000,N/A
1/16/2024 12:10:14 AM,4788.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.37,4400,N/A,476.68,473.95,25,474.07,4500,N/A
1/16/2024 12:10:17 AM,4788.75,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.39,4400,N/A,476.68,473.95,25,474.08,3100,N/A
1/16/2024 12:10:20 AM,4788.75,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.39,4400,N/A,476.68,473.95,25,474.08,2500,N/A
1/16/2024 12:10:23 AM,4788.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.36,4400,N/A,476.68,473.95,25,474.06,5000,N/A
1/16/2024 12:10:26 AM,4788.25,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.32,100,N/A,476.68,473.95,25,474.03,2500,N/A
1/16/2024 12:10:29 AM,4788.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.32,100,N/A,476.68,473.95,25,474.06,5600,N/A
1/16/2024 12:10:32 AM,4788.25,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.32,100,N/A,476.68,473.95,25,474.03,3100,N/A
1/16/2024 12:10:35 AM,4788.25,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.32,100,N/A,476.68,473.95,25,474.03,3100,N/A
1/16/2024 12:10:38 AM,4788.25,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.3,2,406.32,100,N/A,476.68,473.95,25,474.03,3100,N/A
1/16/2024 12:10:41 AM,4788.25,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.2,1660,406.31,2490,N/A,476.68,473.95,25,474.01,5000,N/A
1/16/2024 12:10:44 AM,4788.25,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.19,4518,406.31,3321,N/A,476.68,473.95,25,474.01,5000,N/A
1/16/2024 12:10:47 AM,4788.25,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.21,4519,406.32,100,N/A,476.68,473.95,25,474.06,5000,N/A
1/16/2024 12:10:50 AM,4788.25,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.19,2851,406.31,3321,N/A,476.68,473.95,25,474.04,5000,N/A
1/16/2024 12:10:53 AM,4788.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.2,2490,406.32,1760,N/A,476.68,473.95,25,474.03,3100,N/A
1/16/2024 12:10:56 AM,4788.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.21,4400,406.32,100,N/A,476.68,473.95,25,474.05,5000,N/A
1/16/2024 12:10:59 AM,4788.75,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.24,2490,406.32,100,N/A,476.68,473.95,25,474.1,5000,N/A
1/16/2024 12:11:02 AM,4788.75,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.27,2490,406.32,100,N/A,476.68,473.95,25,474.08,3100,N/A
1/16/2024 12:11:05 AM,4788.75,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.26,4705,406.32,100,N/A,476.68,473.95,25,474.07,600,N/A
1/16/2024 12:11:08 AM,4788.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.26,2815,406.32,100,N/A,476.68,473.95,25,474.06,5600,N/A
1/16/2024 12:11:11 AM,4788.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.25,1996,406.32,100,N/A,476.68,473.95,25,474.05,600,N/A
1/16/2024 12:11:14 AM,4788.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.26,1660,406.32,100,N/A,476.68,473.95,25,474.06,5600,N/A
1/16/2024 12:11:17 AM,4788.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.25,1954,406.32,100,N/A,476.68,473.95,25,474.06,5600,N/A
1/16/2024 12:11:20 AM,4788.75,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.27,4672,406.32,100,N/A,476.68,473.95,25,474.08,3100,N/A
1/16/2024 12:11:23 AM,4788.75,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.27,4423,406.32,100,N/A,476.68,473.95,25,474.08,3100,N/A
1/16/2024 12:11:26 AM,4788.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.21,830,406.32,1760,N/A,476.68,473.95,25,474.03,2500,N/A
1/16/2024 12:11:29 AM,4787.25,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.12,830,406.25,4400,N/A,476.68,473.9,500,473.98,5000,N/A
1/16/2024 12:11:32 AM,4787.75,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.15,2490,406.28,4400,N/A,476.68,473.9,500,473.96,5600,N/A
1/16/2024 12:11:35 AM,4787.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.15,830,406.26,830,N/A,476.68,473.9,500,473.96,5600,N/A
1/16/2024 12:11:38 AM,4787.75,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.14,3657,406.27,4151,N/A,476.68,473.9,500,473.96,5000,N/A
1/16/2024 12:11:41 AM,4787.75,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.16,4400,406.29,4400,N/A,476.68,473.9,500,473.97,600,N/A
1/16/2024 12:11:44 AM,4788.5,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.24,830,406.32,100,N/A,476.68,473.96,5,474.03,2500,N/A
1/16/2024 12:11:47 AM,4788.25,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.23,1200,406.32,100,N/A,476.68,473.96,5,474.03,2500,N/A
1/16/2024 12:11:50 AM,4788.25,185.92,185.6,N/A,185.69,N/A,N/A,0,0,0,409.56,406.22,830,406.32,100,N/A,476.68,473.96,5,474.02,5000,N/A
